code,concept
C3224,Melanoma
C91477,Melanoma Pathway
C21790,Mouse Melanoma
C103113,NCI CTEP SDC Melanoma Sub-Category Terminology
C157920,Melanoma Surgery
C1830,Melanoma Theraccine
C46091,Melanoma Biomarker
C2517,Melanoma Vaccine
C3802,Amelanotic Melanoma
C120298,Canine Melanoma
C133089,Hamster Melanoma
C147983,Refractory Melanoma
C153169,Advanced Melanoma
C159663,Bladder Melanoma
C159665,Urethral Melanoma
C161611,Prostate Melanoma
C189816,DecisionDx-Melanoma
C190239,Resectable Melanoma
C204888,Volar Melanoma
C162547,Penile Melanoma
C4553,Corneal Melanoma
C27394,Vaginal Melanoma
C4640,Rectal Melanoma
C114828,Mucosal Melanoma
C134773,Gerbil Melanoma
C190746,Iridociliary Melanoma
C205125,Nodular Melanoma
C205129,Dermal Melanoma
C215226,Anorectal Melanoma
C4228,Regressing Melanoma
C45652,Lung Melanoma
C165497,Cutaneous Spitz Melanoma
C204889,Nail Apparatus Melanoma
C48607,Invasive Cutaneous Melanoma
C24155,Mouse Gallbladder Melanoma
C54686,Melanoma Cells Present
C3510,Cutaneous Melanoma
C4550,Conjunctival Melanoma
C4561,Choroid Melanoma
C5707,Esophageal Melanoma
C166399,Sinonasal Mucosal Melanoma
C48614,Desmoplastic Neurotropic Melanoma
C80046,B16alphaGal Melanoma Vaccine
C8711,Non-Cutaneous Melanoma
C16835,Experimental Malignant Melanoma
C135006,Fish Melanoma
C178441,Ovarian Melanoma
C188067,Jejunal Melanoma
C198601,Goat Melanoma
C204883,Acral Melanoma
C213491,Mediastinal Melanoma
C217198,Localized Melanoma
C37257,Desmoplastic Melanoma
C54662,Nevoid Melanoma
C8925,Metastatic Melanoma
C104501,Melanoma-Associated Antigen 2
C157882,Immunotherapy for Melanoma
C1633,Polyvalent Melanoma Vaccine
C166405,Mucosal Nodular Melanoma
C171294,Recurrent Ocular Melanoma
C172247,Unresectable Uveal Melanoma
C173335,Refractory Uveal Melanoma
C182127,Metastatic Conjunctival Melanoma
C189817,DecisionDx-Uveal Melanoma
C190240,Resectable Cutaneous Melanoma
C213517,Parotid Gland Melanoma
C214942,Unresectable Conjunctival Melanoma
C214944,Recurrent Conjunctival Melanoma
C214951,Recurrent Acral Melanoma
C54663,Signet Ring Melanoma
C7089,Regressing Cutaneous Melanoma
C9097,Recurrent Cutaneous Melanoma
C36872,Epithelioid Melanoma Cell
C62403,Balloon Melanoma Cell
C4558,Ciliary Body Melanoma
C9151,Lentigo Maligna Melanoma
C118497,Circulating Melanoma Cell
C156072,Metastatic Cutaneous Melanoma
C182024,Refractory Metastatic Melanoma
C212033,Advanced Acral Melanoma
C213201,Conjunctival Amelanotic Melanoma
C213771,Unresectable Acral Melanoma
C215228,Resectable Anorectal Melanoma
C217197,Localized Uveal Melanoma
C48622,Mucosal Lentiginous Melanoma
C6865,Choroid Necrotic Melanoma
C9152,Low-CSD Melanoma
C62400,Large Melanoma Cell
C4358,Eyelid Melanoma
C4639,Anal Melanoma
C5735,Gallbladder Melanoma
C7712,Uveal Melanoma
C176904,Melanoma-Pancreatic Cancer Syndrome
C66753,Melanoma in Precancerous Melanosis
C5915,Oral Cavity Mucosal Melanoma
C38132,12 Melanoma Peptide Vaccine
C131506,Childhood Melanoma
C134569,Horse Melanoma
C134575,Xiphophorus Melanoma
C148517,Unresectable Melanoma
C204887,Subungual Melanoma
C5442,Intracranial Melanoma
C7087,Recurrent Melanoma
C8410,Breast Melanoma
C107428,Melanoma-Associated Antigen B2
C26484,Melanoma-Associated Antigen D1
C91338,Melanoma-Associated Antigen 11
C21793,Mouse Spindle-cell Melanoma
C5158,Spinal Cord Melanoma
C175345,Lacrimal Drainage System Melanoma
C4240,Melanoma Arising in Blue Nevus
C48864,Cutaneous Melanoma pM0 TNM Finding
C48869,Cutaneous Melanoma pM1c TNM Finding
C148494,Locally Advanced Melanoma
C165659,High-CSD Melanoma
C169085,Metastatic Choroid Melanoma
C169086,Metastatic Mucosal Melanoma
C171572,Advanced Cutaneous Melanoma
C180894,Refractory Mucosal Melanoma
C180896,Advanced Mucosal Melanoma
C182020,Recurrent Metastatic Melanoma
C213200,Conjunctival Nodular Melanoma
C4633,Cutaneous Amelanotic Melanoma
C48612,Minimal Deviation Melanoma
C5318,Childhood Meningeal Melanoma
C7990,Uveal Necrotic Melanoma
C62401,Small Melanoma Cell
C111021,Uveal Class 2 Melanoma
C158014,Topical Medications for Melanoma
C171296,Locally Advanced Ocular Melanoma
C178443,Genitourinary System Mucosal Melanoma
C188079,Rectal Epithelioid Cell Melanoma
C194143,Malignant Melanoma of Lip
C209346,Locally Advanced Mucosal Melanoma
C2466,Peptide 946 Melanoma Vaccine
C6098,Iris Spindle Cell Melanoma
C6099,Choroid Spindle Cell Melanoma
C54158,Spindle A Melanoma Cell
C54159,Spindle B Melanoma Cell
C98126,Melanoma-Derived Growth Regulatory Protein
C48865,Cutaneous Melanoma pMX TNM Finding
C7913,Ocular Melanoma with Extraocular Extension
C60451,Rat Malignant Melanoma
C204843,"Low-CSD Melanoma, Superficial Spreading Melanoma Subtype"
C111022,Uveal Class 1a Melanoma
C157924,Mohs Surgery for Melanoma
C157998,Targeted Therapy for Melanoma
C165535,Unresectable Acral Lentiginous Melanoma
C173328,Refractory Non-Cutaneous Melanoma
C179472,Genetic Predisposition to Melanoma
C214937,Locally Advanced Unresectable Melanoma
C214948,Unresectable Non-Cutaneous Melanoma
C215234,Resectable Sinonasal Mucosal Melanoma
C2468,Tetanus Peptide Melanoma Vaccine
C7092,Metastatic Non-Cutaneous Melanoma
C21791,Mouse Epithelioid Melanoma
C21797,Other Mouse Melanoma
C200446,Melanoma with Known Primary Indicator
C156749,Melanoma Risk Factor
C104511,Melanoma-Associated Antigen 1
C104523,Melanoma-Associated Antigen B18
C154588,Melanoma Advanced Imaging Dermatoscope
C17513,Melanoma-Associated Antigen 3
