cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_AQ52,Astro.4U,,,,,,Finite cell line,Homo sapiens (Human)
CVCL_4U69,"HASTR/ci35,Human ASTRocyte/conditionally immortalized, clone 35",Brain,In situ,,4M,Sex unspecified,Conditionally immortalized cell line,Homo sapiens (Human)
CVCL_B4IH,A206,Fetal brain,In situ,,12-16FW,Sex unspecified,Transformed cell line,Homo sapiens (Human)
CVCL_X371,A735,Fetal brain,In situ,,12-16FW,Sex unspecified,Transformed cell line,Homo sapiens (Human)
CVCL_E3G4,NHA E6/E7/hTERT/Ras,Brain,In situ,,Age unspecified,Sex unspecified,Transformed cell line,Homo sapiens (Human)
CVCL_E3G5,NHA E6/E7/hTERT/Ras/Akt,Brain,In situ,,Age unspecified,Sex unspecified,Transformed cell line,Homo sapiens (Human)
CVCL_Z595,SK-astrocyte-IDH1,Brain,In situ,,Age unspecified,Sex unspecified,Telomerase immortalized cell line,Homo sapiens (Human)
CVCL_Z596,SK-astrocyte-IDH1-R132H,Brain,In situ,,Age unspecified,Sex unspecified,Telomerase immortalized cell line,Homo sapiens (Human)
CVCL_5G14,"SVG,SV40 immortalized Glial cell",Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_3797,"SVG p12,SVGp12,SVG(P12)",Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_D5B6,"SVG-10B1,10B1",Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_D5B7,"SVG-5F4,5F4",Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_5G13,SVG-A,Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_C3HJ,SVG-A CHMP1A null,Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_VP19,SVG-A Msh3 1.7X,Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_VP18,"SVG-A Msh3-/-,Msh3-/- SVG-A",Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_5F78,SVG-TH,Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_IM78,SVGR2,Fetal brain,In situ,,8-12FW,Male,Transformed cell line,Homo sapiens (Human)
CVCL_B5WG,"IM-HA,IMmortalized-Human Astrocytes","Brain, cerebral cortex",In situ,,,,Transformed cell line,Homo sapiens (Human)
