cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_M212,FRM [Human melanoma],,,Amelanotic melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF04,"Me14464,14464",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF01,Me10258,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE99,"Me4686,4686",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF02,Me1274,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF08,Me18816,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF09,Me19410,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF13,Me26635,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF14,Me29318,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF15,Me3044,Soft tissue,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF16,Me32562,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF18,Me6824,Hypodermis,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE92,Me20842M1,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF07,"Me18656,18656",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V021,"Me4023,4023",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_WM18,1007P,"Leg, skin",In situ,Cutaneous melanoma,70Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C676,"Me18732,18732",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_WM36,13923M,Lymph node,Metastatic,Melanoma,53Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM54,21768M,Cutaneous,Metastatic,Melanoma,68Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM49,26258M,Cutaneous,Metastatic,Melanoma,70Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM52,3962M,Cutaneous,Metastatic,Melanoma,52Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM40,879M,Lymph node,Metastatic,Melanoma,41Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_HE94,Me13923,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE95,Me21158,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE96,Me2934,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE97,Me3700,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE98,Me4473,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_WM22,10538P,"Leg, skin",In situ,Cutaneous melanoma,55Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM58,1568M,Lung,Metastatic,Melanoma,56Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM50,20706M,Cutaneous,Metastatic,Melanoma,34Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM26,20842M1,Lymph node,Metastatic,Cutaneous melanoma,51Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM51,3988M,Cutaneous,Metastatic,Melanoma,27Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM33,4023M,Lymph node,Metastatic,Melanoma,39Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM41,4473M,Lymph node,Metastatic,Melanoma,69Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM20,5810P,"Leg, skin",In situ,Melanoma,84Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM56,6854M,Cutaneous,Metastatic,Melanoma,57Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM28,9460M,Lymph node,Metastatic,Melanoma,42Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM48,10249M,Skin,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM31,14464M,Lymph node,Metastatic,Melanoma,22Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM29,15392M,Lymph node,Metastatic,Melanoma,36Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM47,18588M,Cutaneous,Metastatic,Melanoma,51Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM30,18656M,Lymph node,Metastatic,Melanoma,43Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM39,18732M,Lymph node,Metastatic,Melanoma,41Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM55,21545M,Cutaneous,Metastatic,Melanoma,51Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM53,26414M,Cutaneous,Metastatic,Melanoma,59Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM32,2934M,Lymph node,Metastatic,Melanoma,36Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM45,33365M,Lymph node,Metastatic,Melanoma,51Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM35,8959M,Lymph node,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_V020,Me20842,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF17,Me32669,Hypodermis,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C674,"INT-MEL-39,Me16938,Me1693/8",Lymph node,Metastatic,Melanoma,40Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM25,1402R,"Trunk, skin",In situ,Cutaneous melanoma,22Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM57,16396M,Colon,Metastatic,Melanoma,30Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM37,17697M,Lymph node,Metastatic,Melanoma,52Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM46,20842M2,Cutaneous,Metastatic,Cutaneous melanoma,51Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM27,9923M,Lymph node,Metastatic,Melanoma,65Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM24,9923P,"Foot, skin",In situ,Melanoma,65Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_HF05,Me15094,Soft tissue,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V019,Me17697,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE93,Me20842M2,Hypodermis,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF10,"Me2211,Me#2211",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF11,Me23526,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF12,Me23682,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_V025,"Me2559/1,Me2559",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF19,Me879,Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HE36,"INT-MEL-11,Me13294,Me1329/4",Lymph node,Metastatic,Melanoma,19Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_HE33,"INT-MEL-4,Me9874,ME9874",Lymph node,Metastatic,Melanoma,68Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM21,1402P,"Trunk, skin",In situ,Cutaneous melanoma,22Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM19,20842P,"Leg, skin",In situ,Cutaneous melanoma,51Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM44,26396M,Lymph node,Metastatic,Melanoma,45Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM23,4405P,"Head, skin",In situ,Melanoma,83Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP94,"ANAD 63,ANAD-63,ANAD63",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_HF03,"Me14362,Me#14362",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_WM42,14362M,Lymph node,Metastatic,Melanoma,54Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM38,2211M,Lymph node,Metastatic,Melanoma,41Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_WM43,30966M,Lymph node,Metastatic,Melanoma,56Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_WM34,4686M,Lymph node,Metastatic,Melanoma,55Y,Male,Cancer cell line,Homo sapiens (Human)
