TF,site_count,best_q_per_tf
ZNF143,3,8.17e-06
ZNF131,21,0.00241
FOXD3,7,0.00338
TFAP2A,9,0.00667
ZNF596,3,0.00841
ZNF148,13,0.00842
RFX1,2,0.00848
PATZ1,18,0.0088
MEF2C,4,0.00938
RFX2,2,0.015
ZNF281,18,0.0153
KLF9,7,0.0172
ZNF213,12,0.0181
KLF13,4,0.0192
ZNF684,2,0.0193
ZNF460,10,0.0194
ZNF134,5,0.02
RREB1,8,0.0215
ZNF582,4,0.0226
KLF16,10,0.0233
RFX3,2,0.0233
ZNF780B,3,0.0281
KLF11,4,0.0281
REST,1,0.0317
ZNF551,1,0.0328
ZNF362,13,0.033
SP3,4,0.0355
TFAP2C,7,0.0355
SP1,12,0.0367
ZNF234,6,0.0372
ZKSCAN5,4,0.0373
ZBTB6,2,0.0378
MEF2A,4,0.0413
NFKB2,2,0.0422
SP4,11,0.0455
ZNF672,4,0.0457
ZNF226,6,0.0457
ZNF347,6,0.0458
STAT1,5,0.046
ZNF142,8,0.0486
ZNF610,7,0.0503
RFX5,2,0.0539
REL,2,0.0551
ZNF623,6,0.0551
CTCF,12,0.0555
MAZ,7,0.0565
FLYWCH1,5,0.0567
ZNF547,2,0.0578
ZNF449,1,0.0612
ZNF707,3,0.0616
ZBTB8A,6,0.0638
SLC2A4RG,12,0.0653
SP2,9,0.0659
ZNF773,3,0.068
SMAD3,2,0.072
ZNF530,7,0.0727
ZNF384,11,0.0731
ZBED4,2,0.0732
ZBTB41,9,0.0787
ZNF189,3,0.0832
TCF7L1,4,0.0834
KLF12,8,0.0836
KLF15,8,0.0851
NR2F1,7,0.0889
ZNF85,1,0.0895
ZNF76,2,0.0914
KLF7,4,0.0917
NR2C2,7,0.093
KLF10,3,0.0962
ZNF775,9,0.0964
ZNF841,6,0.0995
ZNF524,1,0.0995
STAT3,8,0.1
FAM200B,5,0.102
ETV1,3,0.102
ZNF175,3,0.102
EGR1,7,0.103
ZNF257,5,0.108
ZNF322,3,0.109
ZNF416,8,0.11
KLF3,7,0.111
PLAG1,6,0.117
ZNF121,1,0.117
ZNF772,3,0.118
SMAD5,2,0.119
ZFP28,9,0.119
ZNF43,3,0.121
ZNF16,5,0.126
ZNF215,2,0.127
ZNF354A,5,0.134
ZNF274,3,0.137
E2F6,3,0.137
ZNF490,2,0.139
ZNF746,5,0.141
SREBF1,3,0.143
ZNF263,4,0.151
ZNF367,5,0.151
HOXC10,2,0.152
RUNX3,5,0.152
HOXB9,2,0.152
HEY2,1,0.153
ZNF766,4,0.16
ZNF768,8,0.161
GLIS2,4,0.163
ZNF24,3,0.166
ZNF184,4,0.18
ZNF250,3,0.182
KLF2,4,0.182
ZBTB7B,2,0.183
CEBPG,5,0.184
NFIL3,3,0.185
ZNF814,4,0.194
ZNF740,3,0.195
KLF6,2,0.195
KLF4,3,0.196
NR2F6,2,0.196
ZNF20,3,0.197
EGR3,3,0.198
TFCP2,2,0.199
TCF3,3,0.202
NFKB1,3,0.202
MZF1,1,0.203
TCF12,4,0.203
ZIC1,4,0.204
ZBTB26,2,0.205
MEIS2,4,0.205
NFYA,1,0.205
ESRRA,3,0.205
HOXC13,1,0.208
ZNF93,3,0.208
ZNF57,5,0.212
MEF2D,3,0.218
ZNF549,3,0.221
ELF1,3,0.222
GABPA,2,0.223
ZNF850,3,0.225
ZSCAN2,4,0.225
NR1D1,3,0.225
CEBPB,2,0.228
ZNF558,5,0.23
KLF5,5,0.232
HES6,1,0.24
ZNF320,2,0.243
ZNF317,4,0.245
THAP1,5,0.247
ZNF836,2,0.247
NR4A1,4,0.248
MSC,5,0.248
ZNF510,2,0.249
NR4A2,4,0.25
FOXC1,3,0.252
ZNF324,2,0.252
ZNF331,4,0.255
ZNF282,3,0.256
TFDP1,5,0.257
ATF4,2,0.262
HEY1,2,0.268
ZNF701,4,0.272
ZNF816,3,0.277
RXRB,2,0.281
USF1,1,0.292
PKNOX1,3,0.299
ZNF75A,2,0.3
ZXDA,4,0.302
GATA6,3,0.303
NR2F2,3,0.303
TRPS1,3,0.303
HOXC9,2,0.304
ZNF335,2,0.304
ZSCAN16,2,0.322
ZBTB40,2,0.323
NR3C1,4,0.325
ZNF493,4,0.327
E2F8,3,0.329
FIZ1,4,0.329
ZNF689,1,0.337
HOXD9,1,0.338
TWIST1,4,0.341
ZNF682,4,0.344
ZNF211,3,0.344
ZNF865,3,0.36
ZNF528,3,0.36
PPARD,2,0.366
HOXB13,2,0.366
TFAP4,4,0.368
MSANTD3,2,0.369
ZNF574,3,0.369
HOXB8,3,0.37
HOXB6,3,0.37
TFAP2E,3,0.372
CLOCK,2,0.374
EGR2,1,0.374
ZNF343,2,0.381
SREBF2,2,0.382
TP53,3,0.384
ZNF260,1,0.398
RELA,2,0.401
ZBTB47,1,0.405
ZNF708,1,0.407
POU3F3,2,0.413
ZNF675,1,0.415
IRF2,2,0.421
ZNF8,3,0.429
TBX19,3,0.429
ZNF18,2,0.43
ZNF436,3,0.437
ZNF407,2,0.439
IRF3,3,0.445
ZFTA,3,0.448
ZSCAN21,2,0.455
BCL6,2,0.469
CGGBP1,1,0.472
PBX3,2,0.506
NR1D2,2,0.528
MAFF,2,0.534
RARA,2,0.534
OSR2,1,0.539
ZNF341,2,0.54
ZNF75D,2,0.546
RXRG,2,0.548
ZNF770,1,0.553
SOX4,1,0.554
ZNF721,1,0.569
USF2,2,0.58
HSF4,2,0.582
ELF4,2,0.594
NFIB,2,0.594
ZNF726,1,0.597
ELF2,1,0.606
CREB1,2,0.607
ZNF696,1,0.619
ZBTB7A,2,0.633
NFIX,2,0.641
THRB,2,0.659
MTF1,2,0.662
LIN54,2,0.671
NFIC,2,0.679
ARNT2,2,0.681
RUNX2,1,0.681
ZNF500,1,0.69
ZBTB48,1,0.731
PAX3,1,0.736
ETV3,1,0.76
ZNF606,1,0.783
JUN,1,0.792
TIGD7,1,0.818
ZNF410,1,0.831
POU2F1,1,0.84
NRL,1,0.874
NFYC,1,0.91
MEIS3,1,0.911
HOXD8,1,0.911
BATF3,1,0.911
BNC2,1,0.911
PLAGL2,1,0.916
ZNF418,1,0.952
PKNOX2,1,0.953
ZNF700,1,0.955
MEIS1,1,0.992
CREB3L4,1,1.0
ERF,1,1.0
ZBED5,1,1.0
ZNF680,1,1.0
ZNF652,1,1.0
ZNF692,1,1.0
E2F7,1,1.0
ZBTB33,1,1.0
ETV6,1,1.0
BACH1,1,1.0
ZXDC,1,1.0
HOXA5,1,1.0
JDP2,1,1.0
JUNB,1,1.0
JUND,1,1.0
ZNF35,1,1.0
HES1,1,1.0
GLI3,1,1.0
ZNF382,1,1.0
OLIG2,1,1.0
ZNF136,1,1.0
ZNF146,1,1.0
ZSCAN25,1,1.0
SATB1,1,1.0
MAFK,1,1.0
ZBTB24,1,1.0
SOX8,1,1.0
ZBTB5,1,1.0
POU6F1,1,1.0
PAX8,1,1.0
